w1,w2,w3,w4,count,p1,p2,p3,p4,joint.prob.nonnorm,joint.prob,expected,disparity,score
published,required,fields,are,6,0.00011509,8.22E-05,3.62E-05,0.004843658,1.66E-15,3.56E-11,1.08E-05,554430.3508,-1.004031079
report,abuse,report,abuse,6,0.000355136,0.00011509,0.000355136,0.00011509,1.67E-15,3.59E-11,1.09E-05,550131.9674,-1.00416941
an,autopsy,showed,air,6,0.002508969,5.26E-05,0.000141397,9.21E-05,1.72E-15,3.69E-11,1.12E-05,534785.3161,-1.004663299
center,2,26,charlotte,6,0.000141397,0.001144327,0.000141397,7.89E-05,1.81E-15,3.88E-11,1.18E-05,509006.2146,-1.005492928
answered,questions,from,reporters,6,4.27E-05,0.000203874,0.003271853,6.58E-05,1.88E-15,4.03E-11,1.22E-05,490074.791,-1.006102183
be,published,required,fields,6,0.005813705,0.00011509,8.22E-05,3.62E-05,1.99E-15,4.27E-11,1.30E-05,461920.7618,-1.007008241
apparently,been,strangled,within,6,0.000223604,0.00187104,2.63E-05,0.000190721,2.10E-15,4.51E-11,1.37E-05,437835.8532,-1.007783347
manny,pacquiao,kanye,west,6,0.000105225,0.000111802,0.000450496,0.00040446,2.14E-15,4.60E-11,1.40E-05,428741.8797,-1.008076011
assisted,countless,numbers,of,6,2.63E-05,5.59E-05,9.21E-05,0.01604359,2.17E-15,4.66E-11,1.42E-05,423080.2222,-1.008258216
heard,grinsell,giving,birth,6,0.000187433,0.000207163,0.000157838,0.000355136,2.18E-15,4.67E-11,1.42E-05,422250.4136,-1.008284921
good,times,cast,starts,6,0.000989777,0.000368289,0.000121667,5.26E-05,2.33E-15,5.01E-11,1.52E-05,393862.1585,-1.009198518
ish,6,hours,ago,6,7.56E-05,0.00038473,0.000184145,0.000437343,2.34E-15,5.03E-11,1.53E-05,392190.5418,-1.009252314
countless,numbers,of,primarily,6,5.59E-05,9.21E-05,0.01604359,2.96E-05,2.44E-15,5.25E-11,1.60E-05,376071.3086,-1.009771066
am,south,beach,weekend,6,0.001055543,0.000210451,0.00011509,9.86E-05,2.52E-15,5.41E-11,1.65E-05,364398.1606,-1.010146734
numbers,of,primarily,separated,6,9.21E-05,0.01604359,2.96E-05,5.92E-05,2.59E-15,5.55E-11,1.69E-05,355178.4581,-1.010443444
january,2016,many,incidents,6,0.000144685,0.000943741,0.000664236,2.96E-05,2.68E-15,5.76E-11,1.75E-05,342390.7549,-1.010854981
involving,30,40,people,6,5.92E-05,0.000259775,0.000121667,0.00152248,2.85E-15,6.11E-11,1.86E-05,322677.1186,-1.011489409
talk,ish,6,hours,6,0.000542569,7.56E-05,0.00038473,0.000184145,2.91E-15,6.24E-11,1.90E-05,316129.3458,-1.011700131
3,12,charlotte,rich,6,0.000736578,0.000355136,7.89E-05,0.000141397,2.92E-15,6.27E-11,1.91E-05,314846.602,-1.011741412
divorced,fathers,impacted,by,6,9.54E-05,0.000253199,4.93E-05,0.002772032,3.30E-15,7.09E-11,2.16E-05,278383.1373,-1.012914887
2009,6,13,0,6,0.000177568,0.00038473,0.000138108,0.000361712,3.41E-15,7.33E-11,2.23E-05,269295.3687,-1.013207352
policy,chat,or,rant,6,0.000177568,5.26E-05,0.003367214,0.00011509,3.62E-15,7.77E-11,2.36E-05,253845.0728,-1.013704576
involved,in,overseas,bank,6,0.000266352,0.012064753,2.30E-05,4.93E-05,3.65E-15,7.83E-11,2.38E-05,251900.165,-1.013767168
primarily,separated,and,divorced,6,2.96E-05,5.92E-05,0.022837206,9.54E-05,3.81E-15,8.19E-11,2.49E-05,240915.7644,-1.01412067
ramsey,answered,questions,from,6,0.00013482,4.27E-05,0.000203874,0.003271853,3.84E-15,8.25E-11,2.51E-05,239060.8737,-1.014180364
original,good,times,cast,6,9.21E-05,0.000989777,0.000368289,0.000121667,4.08E-15,8.77E-11,2.67E-05,225064.0905,-1.014630812
lady,3,12,charlotte,6,0.000213739,0.000736578,0.000355136,7.89E-05,4.41E-15,9.47E-11,2.88E-05,208283.1367,-1.01517086
simmons,new,award,show,6,0.000111802,0.001854598,4.60E-05,0.000552434,5.27E-15,1.13E-10,3.44E-05,174283.0466,-1.016265058
cast,starts,campaign,for,6,0.000121667,5.26E-05,9.54E-05,0.008924432,5.45E-15,1.17E-10,3.56E-05,168702.2728,-1.016444659
born,alive,ramsey,said,6,0.000378154,6.91E-05,0.00013482,0.001703337,6.00E-15,1.29E-10,3.91E-05,153256.7918,-1.016941729
22,inch,boy,was,6,0.000121667,2.63E-05,0.000318965,0.005981408,6.11E-15,1.31E-10,3.99E-05,150506.1814,-1.01703025
also,visit,hbcuconnect,com,6,0.001331759,0.000190721,1.97E-05,0.001226534,6.15E-15,1.32E-10,4.01E-05,149522.7867,-1.017061898
f,3,id,r,6,0.000200586,0.000736578,0.000315676,0.00013482,6.29E-15,1.35E-10,4.11E-05,146156.2994,-1.017170239
the,arraignment,ramsey,answered,6,0.032968442,3.62E-05,0.00013482,4.27E-05,6.87E-15,1.48E-10,4.49E-05,133722.0073,-1.017570402
direct,threat,to,relationships,6,3.95E-05,3.62E-05,0.02759208,0.000197298,7.77E-15,1.67E-10,5.07E-05,118280.0716,-1.018067357
humbles,up,tmz,reports,6,1.97E-05,0.003225817,0.000805632,0.000157838,8.09E-15,1.74E-10,5.28E-05,113559.3511,-1.01821928
pin,the,photo,pin,6,2.63E-05,0.032968442,0.000361712,2.63E-05,8.25E-15,1.77E-10,5.39E-05,111365.3592,-1.018289888
autopsy,showed,air,in,6,5.26E-05,0.000141397,9.21E-05,0.012064753,8.26E-15,1.77E-10,5.40E-05,111213.1906,-1.018294785
questions,from,reporters,outside,6,0.000203874,0.003271853,6.58E-05,0.000210451,9.23E-15,1.98E-10,6.03E-05,99546.44192,-1.018670247
contract,with,manny,pacquiao,6,9.54E-05,0.008704116,0.000105225,0.000111802,9.76E-15,2.10E-10,6.38E-05,94117.34057,-1.018844967
vows,to,fill,supreme,6,3.95E-05,0.02759208,0.000124955,7.23E-05,9.84E-15,2.11E-10,6.43E-05,93379.00393,-1.018868728
view,my,complete,profile,6,0.000259775,0.005422398,0.000108514,6.58E-05,1.01E-14,2.16E-10,6.56E-05,91423.70116,-1.018931654
game,offers,to,invest,6,0.000226892,5.26E-05,0.02759208,3.29E-05,1.08E-14,2.33E-10,7.07E-05,84853.09488,-1.019143111
6,hours,ago,0,6,0.00038473,0.000184145,0.000437343,0.000361712,1.12E-14,2.41E-10,7.32E-05,82003.47692,-1.019234818
inch,boy,was,apparently,6,2.63E-05,0.000318965,0.005981408,0.000223604,1.12E-14,2.41E-10,7.33E-05,81893.06931,-1.019238371
a,color,d55f80,zoomclouds,6,0.021117428,0.000207163,2.96E-05,8.88E-05,1.15E-14,2.47E-10,7.50E-05,79952.74103,-1.019300815
a,color,97575b,zoomclouds,6,0.021117428,0.000207163,2.96E-05,8.88E-05,1.15E-14,2.47E-10,7.50E-05,79952.74103,-1.019300815
kanye,west,humbles,up,6,0.000450496,0.00040446,1.97E-05,0.003225817,1.16E-14,2.49E-10,7.57E-05,79250.96247,-1.0193234
reporters,outside,the,courtroom,6,6.58E-05,0.000210451,0.032968442,2.63E-05,1.20E-14,2.58E-10,7.84E-05,76563.68445,-1.019409883
joanne,posted,on,1,6,2.96E-05,0.000440631,0.007816276,0.000124955,1.27E-14,2.73E-10,8.31E-05,72158.98163,-1.019551636
offers,valuable,information,and,6,5.26E-05,3.95E-05,0.00026964,0.022837206,1.28E-14,2.74E-10,8.35E-05,71889.11719,-1.01956032
care,about,apples,fight,6,0.000690542,0.003791404,1.97E-05,0.000253199,1.31E-14,2.81E-10,8.54E-05,70268.37398,-1.01961248
west,original,good,times,6,0.00040446,9.21E-05,0.000989777,0.000368289,1.36E-14,2.91E-10,8.86E-05,67702.2061,-1.019695064
legette,provides,insight,for,6,0.000180856,8.55E-05,9.86E-05,0.008924432,1.36E-14,2.92E-10,8.89E-05,67512.36877,-1.019701174
a,decade,eric,legette,6,0.021117428,4.60E-05,8.22E-05,0.000180856,1.45E-14,3.10E-10,9.44E-05,63584.23441,-1.01982759
write,closing,the,curtain,6,0.00024991,4.93E-05,0.032968442,3.62E-05,1.47E-14,3.16E-10,9.60E-05,62520.90341,-1.01986181
be,honored,at,russell,6,0.005813705,2.30E-05,0.003774962,2.96E-05,1.50E-14,3.21E-10,9.76E-05,61473.19468,-1.019895528
court,barnes,and,noble,6,0.0006741,2.96E-05,0.022837206,3.29E-05,1.50E-14,3.22E-10,9.78E-05,61345.38,-1.019899641
one,heard,grinsell,giving,6,0.002456356,0.000187433,0.000207163,0.000157838,1.51E-14,3.23E-10,9.83E-05,61048.25256,-1.019909203
kanye,west,original,good,6,0.000450496,0.00040446,9.21E-05,0.000989777,1.66E-14,3.56E-10,0.000108405,55347.78893,-1.020092657
like,bleacher,report,around,6,0.00312388,1.97E-05,0.000355136,0.000815497,1.78E-14,3.83E-10,0.000116534,51487.30849,-1.020216896
password,thanks,for,contacting,6,0.000190721,0.000266352,0.008924432,3.95E-05,1.79E-14,3.84E-10,0.00011679,51374.35469,-1.020220531
the,book,offers,valuable,6,0.032968442,0.000263064,5.26E-05,3.95E-05,1.80E-14,3.87E-10,0.000117549,51042.4563,-1.020231212
offers,to,invest,10,6,5.26E-05,0.02759208,3.29E-05,0.000388019,1.85E-14,3.98E-10,0.000120925,49617.48768,-1.020277071
provides,insight,for,fathers,6,8.55E-05,9.86E-05,0.008924432,0.000253199,1.91E-14,4.09E-10,0.000124422,48223.12055,-1.020321944
west,humbles,up,tmz,6,0.00040446,1.97E-05,0.003225817,0.000805632,2.07E-14,4.45E-10,0.000135392,44315.84432,-1.020447689
everywhere,e,is,everywhere,6,6.91E-05,0.000378154,0.011732635,6.91E-05,2.12E-14,4.54E-10,0.000138122,43439.93893,-1.020475878
may,like,bleacher,report,6,0.001035813,0.00312388,1.97E-05,0.000355136,2.27E-14,4.87E-10,0.000148016,40536.0397,-1.020569332
at,russell,simmons,new,6,0.003774962,2.96E-05,0.000111802,0.001854598,2.32E-14,4.97E-10,0.000151232,39674.18947,-1.020597068
by,tmz,staff,manny,6,0.002772032,0.000805632,9.86E-05,0.000105225,2.32E-14,4.98E-10,0.000151344,39644.74142,-1.020598016
a,film,spanish,civil,6,0.021117428,0.000161126,4.93E-05,0.000141397,2.37E-14,5.09E-10,0.000154927,38727.93901,-1.02062752
valuable,information,and,insight,6,3.95E-05,0.00026964,0.022837206,9.86E-05,2.40E-14,5.15E-10,0.000156491,38340.8625,-1.020639977
on,1,26,2009,6,0.007816276,0.000124955,0.000141397,0.000177568,2.45E-14,5.26E-10,0.000160094,37477.92069,-1.020667749
30,40,people,went,6,0.000259775,0.000121667,0.00152248,0.000509686,2.45E-14,5.27E-10,0.000160119,37472.18151,-1.020667933
guide,for,fathers,fighting,6,0.000111802,0.008924432,0.000253199,9.86E-05,2.49E-14,5.35E-10,0.000162705,36876.50395,-1.020687104
and,divorced,fathers,impacted,6,0.022837206,9.54E-05,0.000253199,4.93E-05,2.72E-14,5.84E-10,0.000177563,33790.78254,-1.020786409
barnes,and,noble,com,6,2.96E-05,0.022837206,3.29E-05,0.001226534,2.73E-14,5.85E-10,0.000177961,33715.28928,-1.020788838
with,voices,has,assisted,6,0.008704116,3.29E-05,0.003653295,2.63E-05,2.75E-14,5.91E-10,0.00017958,33411.23233,-1.020798624
babys,lungs,the,autopsy,6,0.000483379,3.29E-05,0.032968442,5.26E-05,2.76E-14,5.92E-10,0.000179997,33333.84901,-1.020801114
had,apparently,been,strangled,6,0.002505681,0.000223604,0.00187104,2.63E-05,2.76E-14,5.92E-10,0.000180039,33326.08857,-1.020801364
separation,and,divorce,mr,6,2.96E-05,0.022837206,0.00013482,0.000305811,2.79E-14,5.98E-10,0.000181921,32981.3871,-1.020812457
legette,president,founder,of,6,0.000180856,0.000226892,4.27E-05,0.01604359,2.81E-14,6.04E-10,0.000183733,32656.11607,-1.020822925
husband,involved,in,overseas,6,0.00044392,0.000266352,0.012064753,2.30E-05,3.28E-14,7.05E-10,0.000214371,27988.90722,-1.020973126
was,apparently,born,alive,6,0.005981408,0.000223604,0.000378154,6.91E-05,3.49E-14,7.50E-10,0.000228013,26314.29474,-1.021027019
wordpress,com,vip,get,6,0.00013482,0.001226534,8.55E-05,0.002604329,3.68E-14,7.90E-10,0.000240376,24960.84385,-1.021070576
a,social,event,involving,6,0.021117428,0.000351848,8.55E-05,5.92E-05,3.76E-14,8.07E-10,0.000245471,24442.77723,-1.021087248
erupt,in,january,2016,6,2.30E-05,0.012064753,0.000144685,0.000943741,3.79E-14,8.14E-10,0.00024756,24236.51413,-1.021093886
president,founder,of,fathers,6,0.000226892,4.27E-05,0.01604359,0.000253199,3.94E-14,8.46E-10,0.000257226,23325.79719,-1.021123195
experiences,within,and,outside,6,4.60E-05,0.000190721,0.022837206,0.000210451,4.22E-14,9.06E-10,0.000275492,21779.21531,-1.021172968
skipped,work,for,6,6,1.97E-05,0.000624776,0.008924432,0.00038473,4.23E-14,9.09E-10,0.000276313,21714.50457,-1.02117505
strangled,within,a,few,6,2.63E-05,0.000190721,0.021117428,0.000414325,4.39E-14,9.42E-10,0.000286589,20935.90094,-1.021200107
tmz,reports,rihanna,had,6,0.000805632,0.000157838,0.000141397,0.002505681,4.51E-14,9.67E-10,0.000294125,20399.50987,-1.02121737
with,manny,pacquiao,kanye,6,0.008704116,0.000105225,0.000111802,0.000450496,4.61E-14,9.90E-10,0.000301165,19922.64873,-1.021232716
terminates,their,contract,with,6,2.30E-05,0.002531987,9.54E-05,0.008704116,4.84E-14,1.04E-09,0.000315821,18998.08285,-1.021262471
his,own,experiences,within,6,0.006356274,0.00086811,4.60E-05,0.000190721,4.84E-14,1.04E-09,0.000316295,18969.62176,-1.021263387
invest,10,million,in,6,3.29E-05,0.000388019,0.000322253,0.012064753,4.96E-14,1.06E-09,0.000323859,18526.55572,-1.021277645
courtroom,he,said,grinsells,6,2.63E-05,0.007599249,0.001703337,0.000157838,5.37E-14,1.15E-09,0.000350882,17099.74177,-1.021323563
2,19,2,21,6,0.001144327,0.000180856,0.001144327,0.000243334,5.76E-14,1.24E-09,0.00037623,15947.68264,-1.021360639
up,tmz,reports,rihanna,6,0.003225817,0.000805632,0.000157838,0.000141397,5.80E-14,1.25E-09,0.000378657,15845.49085,-1.021363928
take,a,peek,inside,6,0.001016083,0.021117428,2.30E-05,0.000121667,6.01E-14,1.29E-09,0.00039231,15294.02997,-1.021381675
should,care,about,apples,6,0.001170633,0.000690542,0.003791404,1.97E-05,6.05E-14,1.30E-09,0.000394776,15198.49662,-1.02138475
posted,on,1,26,6,0.000440631,0.007816276,0.000124955,0.000141397,6.09E-14,1.31E-09,0.000397271,15103.04267,-1.021387822
norman,lear,to,be,6,1.97E-05,1.97E-05,0.02759208,0.005813705,6.24E-14,1.34E-09,0.000407661,14718.10846,-1.02140021
bruises,and,marks,on,6,1.97E-05,0.022837206,1.97E-05,0.007816276,6.95E-14,1.49E-09,0.000453633,13226.54912,-1.021448211
alive,ramsey,said,as,6,6.91E-05,0.00013482,0.001703337,0.004524693,7.18E-14,1.54E-09,0.000468438,12808.52548,-1.021461664
lear,to,be,honored,6,1.97E-05,0.02759208,0.005813705,2.30E-05,7.28E-14,1.56E-09,0.000475605,12615.52154,-1.021467876
threat,to,relationships,between,6,3.62E-05,0.02759208,0.000197298,0.000378154,7.45E-14,1.60E-09,0.000486134,12342.26835,-1.021476669
lungs,the,autopsy,also,6,3.29E-05,0.032968442,5.26E-05,0.001331759,7.60E-14,1.63E-09,0.000495911,12098.9526,-1.0214845
babys,neck,where,he,6,0.000483379,2.96E-05,0.000769461,0.007599249,8.36E-14,1.80E-09,0.000546105,10986.89147,-1.021520288
as,an,autopsy,showed,6,0.004524693,0.002508969,5.26E-05,0.000141397,8.45E-14,1.81E-09,0.000551356,10882.25934,-1.021523656
also,showed,bruises,and,6,0.001331759,0.000141397,1.97E-05,0.022837206,8.48E-14,1.82E-09,0.000553921,10831.87158,-1.021525277
daughters,life,led,him,6,0.000226892,0.001236399,8.88E-05,0.003446133,8.58E-14,1.84E-09,0.000560354,10707.51026,-1.02152928
her,bedroom,or,checked,6,0.008010286,6.58E-05,0.003367214,4.93E-05,8.75E-14,1.88E-09,0.000571215,10503.93405,-1.021535831
a,9,5,pound,6,0.021117428,0.000266352,0.000562298,2.96E-05,9.36E-14,2.01E-09,0.000611075,9818.75767,-1.021557882
over,a,decade,eric,6,0.001262705,0.021117428,4.60E-05,8.22E-05,1.01E-13,2.17E-09,0.000658825,9107.116908,-1.021580784
to,invest,10,million,6,0.02759208,3.29E-05,0.000388019,0.000322253,1.13E-13,2.44E-09,0.000740666,8100.814315,-1.021613169
photo,pin,the,photo,6,0.000361712,2.63E-05,0.032968442,0.000361712,1.13E-13,2.44E-09,0.000740805,8099.298851,-1.021613218
minutes,of,birth,grinsell,6,9.86E-05,0.01604359,0.000355136,0.000207163,1.16E-13,2.50E-09,0.000760181,7892.854625,-1.021619861
evening,of,april,1,6,5.26E-05,0.01604359,0.000167703,0.000871398,1.23E-13,2.65E-09,0.000805318,7450.469322,-1.021634098
too,expensive,to,include,6,0.000861533,5.92E-05,0.02759208,8.88E-05,1.25E-13,2.68E-09,0.000815553,7356.973639,-1.021637107
obama,vows,to,fill,6,0.001029236,3.95E-05,0.02759208,0.000124955,1.40E-13,3.01E-09,0.000914163,6563.380468,-1.021662647
grinsell,giving,birth,in,6,0.000207163,0.000157838,0.000355136,0.012064753,1.40E-13,3.01E-09,0.000914648,6559.900129,-1.021662759
am,pdt,by,tmz,6,0.001055543,6.25E-05,0.002772032,0.000805632,1.47E-13,3.16E-09,0.000961508,6240.195403,-1.021673048
his,daughters,life,led,6,0.006356274,0.000226892,0.001236399,8.88E-05,1.58E-13,3.40E-09,0.001033554,5805.209907,-1.021687046
simmons,husband,involved,in,6,0.000111802,0.00044392,0.000266352,0.012064753,1.59E-13,3.42E-09,0.001041229,5762.422074,-1.021688423
boy,was,apparently,born,6,0.000318965,0.005981408,0.000223604,0.000378154,1.61E-13,3.46E-09,0.001053203,5696.90917,-1.021690532
within,a,few,minutes,6,0.000190721,0.021117428,0.000414325,9.86E-05,1.65E-13,3.53E-09,0.001074709,5582.906917,-1.021694201
about,apples,fight,with,6,0.003791404,1.97E-05,0.000253199,0.008704116,1.65E-13,3.54E-09,0.001076282,5574.748219,-1.021694463
to,fill,supreme,court,6,0.02759208,0.000124955,7.23E-05,0.0006741,1.68E-13,3.61E-09,0.001097677,5466.088035,-1.02169796
and,divorce,mr,legette,6,0.022837206,0.00013482,0.000305811,0.000180856,1.70E-13,3.66E-09,0.001111738,5396.954252,-1.021700185
own,experiences,within,and,6,0.00086811,4.60E-05,0.000190721,0.022837206,1.74E-13,3.74E-09,0.001136405,5279.809771,-1.021703955
a,meltdown,during,grammy,6,0.021117428,8.88E-05,0.000365001,0.000263064,1.80E-13,3.86E-09,0.001175297,5105.090559,-1.021709578
bleacher,report,around,the,6,1.97E-05,0.000355136,0.000815497,0.032968442,1.88E-13,4.04E-09,0.001229859,4878.609921,-1.021716866
courting,the,black,vote,6,1.97E-05,0.032968442,0.001555363,0.000187433,1.90E-13,4.07E-09,0.001237986,4846.58166,-1.021717897
in,talk,ish,6,6,0.012064753,0.000542569,7.56E-05,0.00038473,1.90E-13,4.09E-09,0.001243501,4825.086772,-1.021718589
com,vip,get,every,6,0.001226534,8.55E-05,0.002604329,0.000703695,1.92E-13,4.13E-09,0.001254648,4782.217748,-1.021719969
been,strangled,within,a,6,0.00187104,2.63E-05,0.000190721,0.021117428,1.98E-13,4.26E-09,0.0012942,4636.069452,-1.021724672
february,26,2016,at,6,0.000397884,0.000141397,0.000943741,0.003774962,2.00E-13,4.30E-09,0.001308514,4585.354011,-1.021726304
years,still,got,paid,6,0.001025948,0.001019371,0.001121308,0.000170991,2.01E-13,4.30E-09,0.001309106,4583.280858,-1.021726371
louis,tomlinsons,baby,mama,6,0.000180856,4.93E-05,0.006152399,0.00366316,2.01E-13,4.32E-09,0.001312543,4571.277171,-1.021726757
in,kanye,west,original,6,0.012064753,0.000450496,0.00040446,9.21E-05,2.02E-13,4.35E-09,0.001321394,4540.660798,-1.021727742
no,one,heard,grinsell,6,0.002219599,0.002456356,0.000187433,0.000207163,2.12E-13,4.54E-09,0.001382103,4341.209071,-1.021734161
pauly,ds,baby,mama,6,0.000170991,5.59E-05,0.006152399,0.00366316,2.15E-13,4.62E-09,0.00140641,4266.180617,-1.021736576
their,contract,with,manny,6,0.002531987,9.54E-05,0.008704116,0.000105225,2.21E-13,4.75E-09,0.001443755,4155.830623,-1.021740127
apparently,no,one,heard,6,0.000223604,0.002219599,0.002456356,0.000187433,2.29E-13,4.91E-09,0.001491794,4022.002522,-1.021744434
few,minutes,of,birth,6,0.000414325,9.86E-05,0.01604359,0.000355136,2.33E-13,5.00E-09,0.001520362,3946.427313,-1.021746866
reserved,all,rights,reserved,6,0.000355136,0.00395253,0.000483379,0.000355136,2.41E-13,5.17E-09,0.00157315,3814.004211,-1.021751128
this,film,through,february,6,0.006764022,0.000161126,0.000555722,0.000397884,2.41E-13,5.17E-09,0.00157327,3813.713243,-1.021751137
after,the,arraignment,ramsey,6,0.001509327,0.032968442,3.62E-05,0.00013482,2.43E-13,5.21E-09,0.001584228,3787.33354,-1.021751986
more,trending,news,looks,6,0.00241032,0.000226892,0.001792121,0.000259775,2.55E-13,5.47E-09,0.001662178,3609.722551,-1.021757702
fathers,with,voices,has,6,0.000253199,0.008704116,3.29E-05,0.003653295,2.65E-13,5.68E-09,0.001728461,3471.296866,-1.021762157
on,a,wide,variety,6,0.007816276,0.021117428,5.26E-05,3.29E-05,2.86E-13,6.13E-09,0.001864319,3218.333278,-1.021770298
vip,get,every,new,6,8.55E-05,0.002604329,0.000703695,0.001854598,2.91E-13,6.24E-09,0.001897109,3162.707837,-1.021772088
bedroom,or,checked,to,6,6.58E-05,0.003367214,4.93E-05,0.02759208,3.01E-13,6.47E-09,0.001967595,3049.408097,-1.021775734
am,pst,by,tmz,6,0.001055543,0.000131532,0.002772032,0.000805632,3.10E-13,6.66E-09,0.002024228,2964.092817,-1.02177848
who,skipped,work,for,6,0.002857528,1.97E-05,0.000624776,0.008924432,3.14E-13,6.75E-09,0.002052274,2923.586922,-1.021779783
fathers,on,such,issues,6,0.000253199,0.007816276,0.000368289,0.000437343,3.19E-13,6.84E-09,0.002081087,2883.107999,-1.021781086
the,autopsy,also,showed,6,0.032968442,5.26E-05,0.001331759,0.000141397,3.27E-13,7.01E-09,0.002132416,2813.709908,-1.021783319
rights,reserved,all,rights,6,0.000483379,0.000355136,0.00395253,0.000483379,3.28E-13,7.04E-09,0.002141232,2802.125543,-1.021783692
trending,news,looks,like,6,0.000226892,0.001792121,0.000259775,0.00312388,3.30E-13,7.08E-09,0.002154255,2785.185926,-1.021784237
february,21,2016,at,6,0.000397884,0.000243334,0.000943741,0.003774962,3.45E-13,7.40E-09,0.002251861,2664.462466,-1.021788123
that,poses,a,direct,6,0.011456419,3.62E-05,0.021117428,3.95E-05,3.45E-13,7.41E-09,0.002254359,2661.510003,-1.021788218
noble,com,the,book,6,3.29E-05,0.001226534,0.032968442,0.000263064,3.50E-13,7.51E-09,0.002283638,2627.38649,-1.021789316
drama,his,own,experiences,6,0.001381084,0.006356274,0.00086811,4.60E-05,3.51E-13,7.53E-09,0.002290413,2619.614433,-1.021789566
the,babys,neck,where,6,0.032968442,0.000483379,2.96E-05,0.000769461,3.63E-13,7.79E-09,0.002369213,2532.486155,-1.02179237
i,am,south,beach,6,0.014264622,0.001055543,0.000210451,0.00011509,3.65E-13,7.83E-09,0.002380912,2520.042605,-1.02179277
of,family,court,barnes,6,0.01604359,0.00123311,0.0006741,2.96E-05,3.95E-13,8.47E-09,0.002576673,2328.584623,-1.021798932
angela,i,am,south,6,0.000128243,0.014264622,0.001055543,0.000210451,4.06E-13,8.72E-09,0.002653016,2261.576697,-1.021801088
am,20,years,old,6,0.001055543,0.000355136,0.001025948,0.001062119,4.08E-13,8.77E-09,0.002666777,2249.907054,-1.021801464
birth,grinsell,may,have,6,0.000355136,0.000207163,0.001035813,0.005576948,4.25E-13,9.12E-09,0.002774607,2162.468425,-1.021804278
while,a,social,event,6,0.0006741,0.021117428,0.000351848,8.55E-05,4.28E-13,9.19E-09,0.002795645,2146.195074,-1.021804802
relationships,between,fathers,and,6,0.000197298,0.000378154,0.000253199,0.022837206,4.31E-13,9.26E-09,0.00281652,2130.288464,-1.021805313
neck,where,he,had,6,2.96E-05,0.000769461,0.007599249,0.002505681,4.34E-13,9.31E-09,0.002830832,2119.518433,-1.02180566
6,years,still,got,6,0.00038473,0.001025948,0.001019371,0.001121308,4.51E-13,9.69E-09,0.002945488,2037.013715,-1.021808315
6,year,old,daughter,6,0.00038473,0.001223246,0.001062119,0.000970047,4.85E-13,1.04E-08,0.003165586,1895.383701,-1.021812873
february,20,2016,at,6,0.000397884,0.000355136,0.000943741,0.003774962,5.03E-13,1.08E-08,0.0032865,1825.650208,-1.021815117
to,relationships,between,fathers,6,0.02759208,0.000197298,0.000378154,0.000253199,5.21E-13,1.12E-08,0.00340294,1763.181192,-1.021817128
court,as,he,advocated,6,0.0006741,0.004524693,0.007599249,2.30E-05,5.34E-13,1.15E-08,0.003483141,1722.583176,-1.021818434
com,the,book,offers,6,0.001226534,0.032968442,0.000263064,5.26E-05,5.60E-13,1.20E-08,0.003653821,1642.116557,-1.021821024
family,court,barnes,and,6,0.00123311,0.0006741,2.96E-05,0.022837206,5.62E-13,1.21E-08,0.003667758,1635.8768,-1.021821225
fathers,fighting,for,their,6,0.000253199,9.86E-05,0.008924432,0.002531987,5.64E-13,1.21E-08,0.003684795,1628.313161,-1.021821468
a,wide,variety,of,6,0.021117428,5.26E-05,3.29E-05,0.01604359,5.86E-13,1.26E-08,0.003826678,1567.939783,-1.021823411
of,primarily,separated,and,6,0.01604359,2.96E-05,5.92E-05,0.022837206,6.42E-13,1.38E-08,0.004190047,1431.964986,-1.021827787
news,looks,like,kanye,6,0.001792121,0.000259775,0.00312388,0.000450496,6.55E-13,1.41E-08,0.004277288,1402.757875,-1.021828727
rihanna,had,a,meltdown,6,0.000141397,0.002505681,0.021117428,8.88E-05,6.64E-13,1.43E-08,0.004336689,1383.544045,-1.021829345
10,million,in,kanye,6,0.000388019,0.000322253,0.012064753,0.000450496,6.80E-13,1.46E-08,0.004436874,1352.303337,-1.021830351
to,include,in,deadpool,6,0.02759208,8.88E-05,0.012064753,2.30E-05,6.80E-13,1.46E-08,0.004441442,1350.912576,-1.021830395
you,may,like,bleacher,6,0.010821778,0.001035813,0.00312388,1.97E-05,6.91E-13,1.48E-08,0.00451039,1330.262014,-1.02183106
million,in,kanye,west,6,0.000322253,0.012064753,0.000450496,0.00040446,7.08E-13,1.52E-08,0.004624878,1297.331657,-1.02183212
40,people,went,on,6,0.000121667,0.00152248,0.000509686,0.007816276,7.38E-13,1.58E-08,0.004817751,1245.394337,-1.021833791
now,on,iaf,now,6,0.002226175,0.007816276,1.97E-05,0.002226175,7.64E-13,1.64E-08,0.004989517,1202.521118,-1.021835171
now,on,decider,now,6,0.002226175,0.007816276,1.97E-05,0.002226175,7.64E-13,1.64E-08,0.004989517,1202.521118,-1.021835171
children,inside,and,outside,6,0.001335048,0.000121667,0.022837206,0.000210451,7.81E-13,1.68E-08,0.005096602,1177.254881,-1.021835984
at,9pm,to,february,6,0.003774962,1.97E-05,0.02759208,0.000397884,8.18E-13,1.76E-08,0.005338177,1123.979141,-1.021837699
a,direct,threat,to,6,0.021117428,3.95E-05,3.62E-05,0.02759208,8.32E-13,1.79E-08,0.005429486,1105.07697,-1.021838307
